HC50,A,AATS0Z,AATS0d,AATS0i,AATS5i,AATS6i,AATSC1Z,AATSC1dv,AATSC1i,AATSC2Z,AATSC2i,AATSC2s,AATSC3Z,AATSC3v,AATSC5Z,AATSC5dv,AATSC5v,AATSC8Z,AATSC8dv,AATSC8v,ABC,ATSC3d,ATSC4d,ATSC4i,ATSC5Z,ATSC5i,ATSC5p,ATSC6d,ATSC6p,ATSC7i,ATSC8d,ATSC8i,BCUTdv-1l,BCUTi-1l,BCUTs-1l,BIC4,C,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,ETA_beta_ns_d,F,G,GATS4s,GATS8d,I,KK,KL,LK,LL,MAXdssC,MAXsNH2,MAXsOH,MAXssCH2,MAXssNH,MAXsssCH,MDEC-22,MDEN-12,MDEN-22,MDEO-11,MINdO,MINsNH2,MINssCH2,NaaN,NaaNH,NssS,NsssN,V,VE1_A,VR1_A,VSA_EState7,nAcid,label
596.7,0.0714285714285714,20.214285714285715,2.742063492063492,169.3634318085858,166.77449877528431,166.3023978646852,-0.0976316452506924,1.0640356463378593,-0.116413525528294,0.3345223538579502,-0.1704940380608096,0.2128235901369763,0.1229985229842658,-0.8538563090568613,0.3009528744678476,0.0112089700332213,0.6903832448752224,0.1076426722685226,0.1410967465389233,-1.1913887282756843,86.4402591780744,19.282816830435863,8.769447593852346,-37.1463389503925,233.53943058704976,-23.95974216719933,1.117634470713572,-19.524518140589585,3.584160190450959,-64.60183586257543,-8.766093474426816,-50.5595218645998,0.9871316710688186,10.93703275057646,1.194010285560439,0.8244447331534416,0.0,48.57048453840811,0.0,11.823646930541102,85.85220944298449,13.847474399381248,0.0,0.0,0.0714285714285714,1.2497086907108796,1.0795334425880376,0.1428571428571428,0.0,0.0,0.0,0.0,-0.3492987120608697,5.9159873818686215,10.921780614650965,0.4734402787045733,2.791520270886193,-0.000153676256912,0.0,6.799550566998078,8.904344174527337,8.383941363956376,12.2545837430175,5.472352050522505,-1.0275682102125532,0,1,0,1,0.0,5.189806373127255,65701.84685731688,4.441286976218611,1,0
7.0,0.0,21.625,2.711309523809524,167.89814542789546,166.5119053186012,164.504293693228,-0.1135629671000552,1.1901706011074649,-0.1399042091575517,0.0852813502930458,-0.2352180488501354,0.1779924378797112,0.1907642722647076,-1.9480944925398644,0.2966765060071191,-0.0883909273192397,1.4302235491929625,-0.0142093264368233,-0.0154954058680331,-0.6916904022777166,112.80437975248552,25.43401006235829,17.423106221655345,-51.04163909501156,310.32362528344663,19.99347522868447,9.104664006172122,-48.018043154761855,2.1363945160639224,-102.90544927895066,-18.095778415532862,-19.234913325714366,0.5463540731064332,10.335891789471845,0.627688596277032,0.7878617774090312,0.1,69.10369970477788,0.0,28.485441610782694,119.6724509221069,41.54242319814374,0.0,0.05,0.05,1.296577946448553,1.0820391064818984,0.1,0.0526315789473684,0.0526315789473684,0.0,0.0526315789473684,-0.4737340111842172,6.262495887288271,11.097586424474072,0.6309967999541992,2.874884744225064,-0.1677402793282065,0.0,3.136963560010895,8.959404168648037,12.180857982524287,11.816906490107122,5.698067551979822,-0.6788954197731676,0,0,1,2,0.15,5.365869796974764,6045040.254038731,4.686704258945485,1,1
0.3,0.0,18.27151051625239,2.5105162523900573,169.5710898194961,166.64485646289577,166.79678173868564,-0.127019662641556,0.9545170068821917,-0.062838643134715,0.1314451200936587,-0.2390196799132476,0.1438031997674448,0.2574094018349417,-1.5477761495449618,0.6061937648560292,0.1294549830748884,1.7792934135542036,-0.2166762171162714,-0.0466656124920126,-3.059354347578004,161.1262048507339,97.1576176566287,48.46753726295932,-26.51723762771263,962.6356985913744,-90.4645420893895,2.524216001180719,-29.46455037674253,9.96303227728868,57.011734824513496,-76.1598660471102,-193.0984399461108,0.9871316710687852,11.061786059906185,1.2286461430950233,0.5205332419179405,0.0,128.5403672415068,0.0,0.0,124.62726959443118,55.38989759752498,0.0,0.0,0.0,1.2573656203760355,1.2463304427600974,0.0,0.0,0.52,0.48,0.0,-0.5508209305768166,6.249999480188911,10.036323754934829,0.6416265415751936,2.848932376900716,-0.0903512898118643,0.0,0.0,0.0,0.0,12.31226549581607,5.684964806828964,-0.0552783715826032,0,0,0,0,0.0,11.405368523745828,11792.767389750212,9.99795954295486,1,1
180.0,0.0,19.34020618556701,2.649484536082474,168.60807494316438,167.98045565265963,166.46793417716506,-0.040386863641194,1.2595387395047293,-0.1884833825950813,0.6719377650057632,-0.197284634341202,0.212170679092631,0.0106652588850484,-3.612871937536176,0.3787688802200001,-0.0548576106668731,1.3331257907340217,-0.1686916035971531,-0.0299039127204769,-3.583947628879485,63.15810605725664,15.134445743437142,5.492082049101924,-45.84777275484009,226.8825592517801,7.425387508929722,2.3592442878517623,-17.57189924540333,5.009304506718477,-74.67202636625962,-36.85195026038899,-65.70128927649661,0.987131671053913,11.060031146300147,1.1940104020200013,0.7510855575114276,0.0,38.524929737556064,0.0,4.899909730850478,48.46616039783436,62.3136347972156,0.0,0.0,0.1666666666666666,1.1975764660585837,1.1060799046781902,0.25,0.0,0.0,0.0,0.0909090909090909,-0.4364051445193404,6.212434579906724,10.50573788368434,0.6559517920419212,2.839794194432869,0.0071570703100618,7.510385115251383,0.6206777441807464,4.801137465062963,7.110509309057676,11.784585665048953,6.212434579906724,-0.9249962806662682,0,0,0,1,0.0,4.972898437185072,599903.8493447402,3.0207124611206018,1,0
590.0,0.0,21.584415584415584,2.6525974025974026,170.13325979805938,167.4608409729108,165.46692991119588,-0.3667371166842375,1.1003965349326823,-0.1400447972483653,0.2173736285592171,-0.2159042316380721,0.2192731591582725,0.246549933286464,-1.34721688919407,-0.0095522506523269,-0.1720902869871549,0.536406196259346,-0.0307335569673232,0.1024589312195533,-0.0495356450446252,102.46892829250798,15.273570585258891,10.911831674818693,-8.715342441138215,-8.931354359925669,19.70295442978556,6.062008887291768,-43.76019354022603,0.7970505839668693,-49.61329300469476,-1.7590866925282551,1.0392244178673025,0.5463540638689843,10.345846373859256,1.1919316507184556,0.6739028601610824,0.1052631578947368,38.524929737556064,0.0,0.0,110.77979519504994,0.0,0.0,0.0,0.1052631578947368,1.2199617794914956,1.0608864677284613,0.0,0.0,0.0,0.0,0.0,-0.382686864990313,5.8663405151250245,10.323580222001516,0.4670937271552051,2.709860600460014,-0.4630881610684272,0.0,9.13991042850398,12.5188518616106,11.66055533433861,11.739100174987025,5.5277677123982345,-1.041814498079551,0,0,0,0,0.4210526315789473,8.341230460753515,5796.268554328887,2.8709765827482334,1,0
22.0,0.0,19.888059701492537,2.649253731343284,168.91897178155918,167.03469351950997,165.94456796662266,-0.1293717977277787,1.0869904210291823,-0.0979117944397131,0.3386199984664937,-0.2287408749719346,0.2283403928758292,0.1558826920907744,-1.4966049746914842,0.59349417692033,0.1303155644879859,1.866356104806451,0.0686284772833255,0.0642042167204032,-1.1229430711769597,88.97062914989732,29.566997104032065,12.022944976609478,-33.48357499184864,486.0717308977503,-15.708378435296956,3.7353162471027415,-21.338494096680805,3.452964436442591,-27.592365032042597,-21.845901091557156,-41.81710488961011,0.9871316710687924,10.954427866068004,1.193972802154012,0.7744642149295707,0.0,56.930024475105085,0.0,0.0,113.41668173859551,13.847474399381248,0.0,0.0625,0.1875,1.1719950947386548,1.1323480800119476,0.125,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.6354855447280257,5.899774652535135,10.06814003684512,0.4331061789600403,2.77380881063561,-0.0576468552259048,0.0,4.668657412327541,8.444003030074214,10.557028817082026,11.67230762586852,5.534999264794288,-0.9877219583987138,0,0,0,0,0.125,7.6385085146958,25901.29511384604,2.688685803085932,2,1
50.0,0.0769230769230769,21.788990825688074,2.944954128440367,166.86706048109585,165.72553770835717,165.71021851494376,-0.0197226095719486,1.0068498344316876,-0.1205722527849689,0.2600731364371811,-0.1962938441197387,0.1820262613889675,-0.3658624833414364,-3.961473693772352,0.8911224605839971,0.4221680520119687,1.849781487568231,0.0010914468205366,0.1670601838342502,-2.913229781528159,82.6693666457764,7.514687315882499,7.386162780910693,-35.021915084870706,583.6852116825181,-43.90051914188062,0.1810065061811777,-9.78882248968942,-0.7797283031302137,-5.123819265736065,-15.268748421850011,-92.72887982323442,0.987131671068802,10.954415677742078,1.193361586630745,0.8368110148186314,0.0,29.66247422409447,5.563451491696996,31.97206449244586,126.47156215660632,19.913841467842857,0.0,0.2307692307692307,0.0769230769230769,1.265868552134425,1.096425287977935,0.1538461538461538,0.0,0.0,0.0,0.0,-0.6280849449103887,6.264058976586067,10.57258931125553,0.3243634217986539,2.7263873415548856,-0.1404807605221725,0.0,1.9683191149802788,10.505463474642816,8.533492067122523,12.141202931193328,5.507932895664796,-1.010202633817905,2,2,0,0,0.0,6.563295252339384,8411.2560163364,5.07379236410035,1,1
50.1,0.08,21.498850574712645,2.8229885057471265,170.07414458440408,167.4029060806936,166.96323575688794,-0.1374533517154704,0.9789239949187292,-0.1757829307932531,0.2471029604561115,-0.1437396763353488,0.2697125759254178,-0.2518600305758449,-1.627561844011622,0.6572684639627598,0.2531480447101009,1.788204459013693,0.3664112047614981,0.2257406008369409,-0.6184596928043593,157.96960832676425,18.58514995375877,17.102137666798797,-82.30108731709919,880.0824732461355,-51.8043579170792,4.315880131131713,-0.4718985334918547,3.1984185690864355,-45.07401127069264,-37.70006605892456,-74.97783312334236,0.9871316710687892,10.954418584385303,1.193361586373758,0.7774316795845625,0.0,23.372129104319928,19.410925891078243,37.572490939132855,130.75841281275137,12.990104268152232,0.0,0.08,0.12,1.2442366843737127,1.1360085708673509,0.16,0.0,0.0,0.0,0.0,-0.3967932714506748,6.353558711248498,10.702554154642367,0.4144998918055291,2.7690849057915488,-0.3394679232994033,0.0,0.0,0.0,0.0,12.36856766226026,5.386215865262511,-1.117934350994922,3,3,0,0,0.0,6.515217224964388,129917812.72777674,5.306158796020435,2,1
101.0,0.1071428571428571,22.677570093457945,2.7616822429906542,168.85670438543124,166.3932831270178,165.80269943614869,-0.2511976697713435,1.1349056460832354,-0.1261105250873432,0.1074847748852015,-0.2838191275744519,0.2227105440351253,0.1238500470106385,-0.8045381676073659,0.5584872167618817,0.1586108829167945,0.8226048320808365,0.0935488609564949,0.095156055054498,-1.3031121040851417,149.48897543558996,32.73510786968298,9.646038955367295,-20.966109132452925,733.2937156083507,-58.202927028869205,2.9110227732564744,-38.66828980697001,-2.337804893969683,-29.34137307980706,-28.05980871691851,-109.25838891154454,0.5463540731064292,10.335881348035068,0.627673433371824,0.7924570212532205,0.0714285714285714,35.72884129255608,27.694948798762496,59.50115171914793,99.75860945426406,0.0,0.0,0.0,0.1071428571428571,1.1926848117757038,1.101954613569706,0.0714285714285714,0.0,0.037037037037037,0.037037037037037,0.0,-0.6661557152174489,5.895311176351468,11.163172611374671,0.3399615988214717,2.661429927916509,-0.1337033746185008,0.0,6.410604645761435,0.0,0.0,11.478549254320129,5.48304542961004,-1.1779091965336894,0,1,1,0,0.0714285714285714,4.717446694064003,201765140.7631152,-2.694274759966401,3,0
120.0,0.0,20.037209302325586,2.7255813953488373,168.53057739967616,167.0968606092068,166.44104533478196,-0.0550967489934505,1.1612253870961284,-0.1545333013953433,0.5372981300293354,-0.1676378677368137,0.2245594199916356,-0.1222292598206874,-3.5484034203952333,0.2231332251667564,-0.1002221549626792,0.065434709253255,0.0455655076022615,0.0666676076076326,-1.8788513067939263,73.23594047883077,13.481946998377497,-0.7714223904813444,-38.04032579442394,145.9291292590587,-16.378924275832894,-0.7889031040801382,-15.749724175229856,2.4415944861149432,-59.81355961759133,-27.936376419686315,-34.87641354856693,0.987131671068796,10.954426080700763,1.1940201565445916,0.8158969617368437,0.0,19.26246486877803,5.563451491696996,4.899909730850478,69.23737199690622,58.02678414107054,0.0,0.0769230769230769,0.1538461538461538,1.2081256063271617,1.1049127953268385,0.1538461538461538,0.0,0.0,0.0,0.0,-0.3598404747378192,6.298057064278456,10.255510924385092,0.4766757166553121,2.834885727192368,-0.0224430148468097,16.374951594863308,2.6875194879618043,6.426806751532561,7.7233798820003186,11.867075945858709,5.485647089911333,-0.9494548786884124,0,0,0,1,0.0769230769230769,4.874471657780989,1060267.9292473283,2.4230582835253407,1,0
