Variable,Mean_0,Median_0,Q1_0,Q3_0,Shapiro_p_0,Mode_0,Mean_1,Median_1,Q1_1,Q3_1,Shapiro_p_1,Mode_1,Levene_p
VR2_A,59632770844.04276,1870.6120411325116,116.93950567306996,20001.571095319618,8.761817593063704e-53,9478.198349100741,47273274643.66746,7188.396210175129,250.12849658909784,643854.8034561416,2.2568146583889967e-52,85.10403007793519,0.7610844176070428
VR3_A,16.207919859079798,15.18450267486275,12.297394850007734,17.513315529266805,9.950615053118257e-28,16.510791911235085,18.071046304636074,16.54634675584607,13.271323100653122,21.666833846232397,3.5089932555743443e-20,12.094756783272636,2.8334737820069733e-07
nAromAtom,14.615861214374226,12.0,6.0,21.0,3.456409453366324e-25,0.0,17.17699115044248,15.0,9.0,24.0,1.364070885860766e-18,0.0,0.9766549217868946
nAromBond,15.368029739776953,12.0,6.0,21.0,1.2445373327326896e-25,0.0,17.845764854614412,16.0,10.0,24.0,2.404478216814364e-19,0.0,0.793150485968266
nAtom,313.3432465923172,286.0,243.0,368.0,6.712743182173797e-22,214.0,340.5006321112516,333.0,259.5,400.0,1.5417307743626487e-15,264.0,0.01007434163944842
nHeavyAtom,148.4163568773234,135.0,113.0,178.5,4.0511623532127014e-22,115.0,162.35145385587865,157.0,121.0,196.0,1.1204772918439718e-14,183.0,0.009699428135771767
nHetero,50.10161090458488,45.0,36.0,61.0,9.250888794962114e-23,31.0,54.51706700379267,52.0,40.0,67.0,1.3015866692929448e-16,30.0,0.02006293884359399
nH,164.9268897149938,154.0,129.0,190.5,8.169025085819573e-21,129.0,178.14917825537296,172.0,136.0,208.0,1.400377520744804e-15,118.0,0.012424210322562112
nC,98.31474597273854,90.0,75.0,117.0,2.285256326679777e-21,72.0,107.83438685208597,105.0,82.0,127.5,1.1328171689529377e-14,123.0,0.00525281448956455
nN,27.385377942998762,25.0,20.0,34.0,4.095967059883957e-23,19.0,29.188369152970925,28.0,21.0,36.0,3.3361741820487214e-14,20.0,0.12202104076723273
nO,22.154894671623296,20.0,15.0,26.0,5.257799958838472e-25,14.0,24.348925410872315,22.0,17.0,29.0,8.659038412062988e-21,16.0,0.155879163660497
nS,0.5613382899628253,0.0,0.0,1.0,4.861981941201474e-40,0.0,0.9797724399494311,0.0,0.0,2.0,2.010232045941394e-37,0.0,2.8596624244167007e-09
ATS0dv,1974.2275154129761,1788.0,1471.4444444444443,2431.222222222222,2.81548774406587e-22,1330.0,2167.8200433893653,2059.2345679012346,1595.0,2640.617283950617,2.0774664554206617e-15,1198.0,0.016419707480142435
ATS1dv,1731.2512735784114,1583.0,1281.5,2115.0,2.3800446893773913e-21,1424.0,1905.556960247226,1835.0,1390.0,2327.0,1.1426685275867334e-13,1003.0,0.018125253092916172
ATS2dv,2332.701776125568,2143.333333333333,1722.5,2849.5,9.384173285507991e-21,1959.0,2570.5233881163085,2479.333333333333,1884.5,3137.0,2.6466234671919585e-13,1351.0,0.009529670126571795
ATS3dv,2640.902657304144,2420.0,1979.0,3212.5,2.996968826920512e-21,2237.0,2921.518050287962,2763.0,2153.5,3537.5,6.985702725702834e-15,1633.0,0.0014734339915830727
ATS4dv,3031.764009362522,2730.0,2254.0,3694.5,1.5060348681095389e-21,2373.0,3350.9397387273493,3165.0,2456.5,4090.5555555555557,1.1984080861252135e-15,1890.0,0.0019274312080479155
ATS5dv,3736.540961035385,3342.0,2721.5,4603.333333333334,6.500815790786157e-22,2280.0,4112.523669054643,3876.0,2986.5,5078.666666666666,1.8009649088380153e-15,2205.0,0.008138129485619528
ATS6dv,3445.6959933911603,3115.0,2470.0,4200.444444444444,1.5202868786806443e-20,2457.0,3776.556257901391,3642.0,2669.5,4671.888888888889,1.0705261741388757e-13,1783.0,0.049094655128547694
ATS7dv,3692.4842045680543,3324.0,2622.6666666666665,4514.0,2.6182401325018047e-20,2020.0,4050.429991727927,3952.8888888888887,2870.0,5020.277777777777,2.2752594497504926e-13,2721.0,0.1015261885894581
ATS8dv,4142.200468126119,3704.0,2925.0,5090.5,7.817327913884156e-21,2591.0,4537.692325701175,4426.0,3246.1111111111113,5636.222222222222,1.7182442898535553e-13,2791.0,0.18527005661977874
ATS0d,866.1858736059479,795.0,659.5,1041.0,9.632352521452239e-22,717.0,948.6422250316056,922.0,710.0,1146.0,3.31073286796195e-14,532.0,0.0063724979050779175
